,ReportDt,Unit,Power,DocketNum
129,9/19/2023 12:00:00 AM,Grand Gulf 1,100,05000416
130,9/19/2023 12:00:00 AM,Harris 1,100,05000400
131,9/19/2023 12:00:00 AM,Hatch 1,100,05000321
132,9/19/2023 12:00:00 AM,Hatch 2,100,05000366
133,9/19/2023 12:00:00 AM,Hope Creek 1,100,05000354
134,9/19/2023 12:00:00 AM,LaSalle 1,100,05000373
135,9/19/2023 12:00:00 AM,LaSalle 2,100,05000374
136,9/19/2023 12:00:00 AM,Limerick 1,100,05000352
137,9/19/2023 12:00:00 AM,Limerick 2,100,05000353
138,9/19/2023 12:00:00 AM,McGuire 1,0,05000369
139,9/19/2023 12:00:00 AM,McGuire 2,100,05000370
140,9/19/2023 12:00:00 AM,Millstone 2,92,05000336
141,9/19/2023 12:00:00 AM,Millstone 3,100,05000423
142,9/19/2023 12:00:00 AM,Monticello,100,05000263
143,9/19/2023 12:00:00 AM,Nine Mile Point 1,100,05000220
144,9/19/2023 12:00:00 AM,Nine Mile Point 2,97,05000410
145,9/19/2023 12:00:00 AM,North Anna 1,100,05000338
146,9/19/2023 12:00:00 AM,North Anna 2,0,05000339
147,9/19/2023 12:00:00 AM,Oconee 1,100,05000269
148,9/19/2023 12:00:00 AM,Oconee 2,100,05000270
149,9/19/2023 12:00:00 AM,Oconee 3,100,05000287
150,9/19/2023 12:00:00 AM,Palo Verde 1,100,05000528
151,9/19/2023 12:00:00 AM,Palo Verde 2,100,05000529
152,9/19/2023 12:00:00 AM,Palo Verde 3,100,05000530
153,9/19/2023 12:00:00 AM,Peach Bottom 2,100,05000277
154,9/19/2023 12:00:00 AM,Peach Bottom 3,86,05000278
155,9/19/2023 12:00:00 AM,Perry 1,100,05000440
156,9/19/2023 12:00:00 AM,Point Beach 1,100,05000266
157,9/19/2023 12:00:00 AM,Point Beach 2,100,05000301
158,9/19/2023 12:00:00 AM,Prairie Island 1,100,05000282
159,9/19/2023 12:00:00 AM,Prairie Island 2,100,05000306
160,9/19/2023 12:00:00 AM,Quad Cities 1,100,05000254
161,9/19/2023 12:00:00 AM,Quad Cities 2,100,05000265
162,9/19/2023 12:00:00 AM,River Bend Station 1,100,05000458
163,9/19/2023 12:00:00 AM,Robinson 2,100,05000261
164,9/19/2023 12:00:00 AM,Saint Lucie 1,100,05000335
165,9/19/2023 12:00:00 AM,Saint Lucie 2,100,05000389
166,9/19/2023 12:00:00 AM,Salem 1,93,05000272
167,9/19/2023 12:00:00 AM,Salem 2,100,05000311
168,9/19/2023 12:00:00 AM,Seabrook 1,100,05000443
169,9/19/2023 12:00:00 AM,Sequoyah 1,100,05000327
170,9/19/2023 12:00:00 AM,Sequoyah 2,100,05000328
171,9/19/2023 12:00:00 AM,South Texas 1,100,05000498
172,9/19/2023 12:00:00 AM,South Texas 2,100,05000499
